Rk,Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
1,Guam,Western Pacific,40053,23731.595,128,75.841,0,352,208.562,0,0,0
1,Burundi,Africa,38722,325.647,113,0.95,24,15,0.126,0,0,0
1,Mayotte,Africa,36958,13546.909,67,24.559,0,187,68.545,0,0,0
1,Togo,Africa,36957,446.409,7,0.085,0,272,3.286,0,0,0
1,Guinea,Africa,36502,277.945,0,0,0,440,3.35,0,0,0
1,Faroe Islands,Europe,34658,70926.021,0,0,0,28,57.301,0,0,0
1,Aruba,Americas,34264,32092.614,175,163.91,175,212,198.565,0,0,0
1,United Republic of Tanzania,Africa,33851,56.669,15,0.025,0,803,1.344,0,0,0
1,Bahamas,Americas,33366,8484.808,52,13.223,6,789,200.639,1,0.254,0
1,Lesotho,Africa,32968,1538.943,15,0.7,0,697,32.536,0,0,0
1,Mali,Africa,30589,151.051,83,0.41,11,729,3.6,1,0.005,0
1,Haiti,Americas,30586,268.239,8,0.07,0,835,7.323,1,0.009,0
1,Isle of Man,Europe,30169,35479.584,1279,1504.14,0,87,102.314,3,3.528,0
1,Benin,Africa,26605,219.455,10,0.082,0,163,1.345,0,0,0
1,Somalia,Eastern Mediterranean,26471,166.555,0,0,0,1361,8.563,0,0,0
1,Congo,Africa,24028,435.441,11,0.199,0,385,6.977,0,0,0
1,Guernsey,Europe,23684,36737.606,1427,2213.501,1427,43,66.7,7,10.858,7
1,Saint Lucia,Americas,23045,12549.897,77,41.933,8,365,198.773,0,0,0
1,Timor-Leste,South-East Asia,22848,1732.951,12,0.91,4,130,9.86,0,0,0
1,Cayman Islands,Americas,21121,32137.858,0,0,0,25,38.04,0,0,0
1,Burkina Faso,Africa,20865,99.817,0,0,0,383,1.832,0,0,0
1,Tajikistan,Europe,17786,186.482,0,0,0,125,1.311,0,0,0
1,South Sudan,Africa,17362,155.105,51,0.456,6,138,1.233,0,0,0
1,Gibraltar,Europe,17236,51159.063,116,344.306,0,101,299.783,0,0,0
1,Liechtenstein,Europe,16818,43404.651,174,449.067,0,82,211.629,0,0,0
1,Equatorial Guinea,Africa,15904,1133.583,0,0,0,183,13.044,0,0,0
1,San Marino,Europe,15827,46635.04,282,830.927,48,114,335.907,0,0,0
1,United States Virgin Islands,Americas,15801,15131.434,93,89.059,17,111,106.296,0,0,0
1,Djibouti,Eastern Mediterranean,15595,1578.441,4,0.405,0,189,19.13,0,0,0
1,Central African Republic,Africa,14354,297.199,1,0.021,0,113,2.34,0,0,0
