Dominican Republic,DOM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,81.828,82.54
Algeria,DZA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,73.189,73.733
East Asia & Pacific (excluding high income),EAP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,56.5878255,57.49730515
Early-demographic dividend,EAR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,45.54080543,45.95920799
East Asia & Pacific,EAS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,59.88894566,60.69776203
Europe & Central Asia (excluding high income),ECA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,67.17968782,67.365545
Europe & Central Asia,ECS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,72.41174487,72.61503956
Ecuador,ECU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,63.986,64.166
"Egypt, Arab Rep.",EGY,Urban population (% of total population),SP.URB.TOTL.IN.ZS,42.73,42.783
Euro area,EMU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,77.23116685,77.46187004
Eritrea,ERI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,40.712,41.347
Spain,ESP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,80.565,80.81
Estonia,EST,Urban population (% of total population),SP.URB.TOTL.IN.ZS,69.051,69.229
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,21.225,21.695
European Union,EUU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,74.73732637,74.9565121
Fragile and conflict affected situations,FCS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,42.19355206,42.64332565
Finland,FIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,85.446,85.517
Fiji,FJI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,56.75,57.247
France,FRA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,80.709,80.975
Faroe Islands,FRO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,42.225,42.398
